"","geography","vacancy_rate","no_vacancy","vacancy","total"
"1","central_west_total",0.345047923322684,205,108,313
"2","Bathurst Regional",0.415841584158416,59,42,101
"3","Blayney",0.142857142857143,24,4,28
"4","Cabonne",0.166666666666667,10,2,12
"5","Cowra",0.2,8,2,10
"6","Forbes",0.25,6,2,8
"7","Lachlan",0.666666666666667,1,2,3
"8","Lithgow",0.375,20,12,32
"9","Mid-Western Regional",0.384615384615385,8,5,13
"10","Oberon",0,4,0,4
"11","Orange",0.379310344827586,54,33,87
"12","Parkes",0.285714285714286,10,4,14
"13","Weddin",0,1,0,1
