"","geography","vacancy_rate","no_vacancy","vacancy","total"
"1","nsw",0.487403342479421,4110,3908,8018
"2","central_west",0.457746478873239,154,130,284
"3","Bathurst Regional",0.6,34,51,85
"4","Blayney",0.411764705882353,10,7,17
"5","Cabonne",0.285714285714286,10,4,14
"6","Cowra",0.7,3,7,10
"7","Forbes",0.25,6,2,8
"8","Lachlan",0.666666666666667,1,2,3
"9","Lithgow",0.444444444444444,15,12,27
"10","Mid-Western Regional",0.333333333333333,8,4,12
"11","Oberon",0,3,0,3
"12","Orange",0.4,54,36,90
"13","Parkes",0.333333333333333,8,4,12
"14","Weddin",0.333333333333333,2,1,3
